Loc,Lon,Lat,DistEntrance,av_salinity
SOD,21.3819444,63.3369444,-1204,4.3164125
RAU,21.304948,61.143479,-963,6.20156
HAN,23.1408333,59.8322222,-1018,6.09845
TVE,8.9549,58.6104,587,29.18331311
ESP,12.18486806,57.18986005,271,18.05001
OST,18.99461667,59.70226667,-770,5.84219
NYN,17.92875698,58.87727323,-649,6.54609
VAS,16.73196216,57.69529805,-496,7.17187
BOR,16.72077238,56.88584649,-406,7.3388875
OTT,16.40003757,56.19480997,-327,7.61329
KIV,14.23059068,55.68783453,-180,7.94999
DJU,18.40115,60.3687,-867,5.08358
FAL,12.93410879,55.41304996,-32,8.44922
LAN,12.80986009,55.87704768,108,12.3172
KUG,17.51643333,61.69878333,-1007,5.05312
BAR,18.40206667,62.861,-1143,4.71328
VEJ,12.76233046,56.31566102,137,15.58752
JAR,19.66628,63.435564,-1235,3.98125
PRI,28.630067,60.365548,-1325,3.5751875
PAK,24.13361667,59.36888889,-1038,7.106766667
PAN,22.29861111,58.56888889,-869,7.566416667
SBL,20.01166667,63.61066667,-1255,3.4961
TJA,11.13406659,58.86569758,468,26.07844617
EBE,10.6679821,56.1946719,316,21.05781
SAS,13.62705556,54.39930556,-134,8.5711
STE,12.17080556,54.98386111,32,9.20078
HER,12.53644444,55.954,139,13.74375
NEU,10.8045911,54.0912648,150,14.20858
KIE,10.18825,54.41169444,189,16.06486
HOO,9.8855,54.90555556,218,16.54689
KOL,9.626055556,55.51372222,284,17.85312
JUE,10.00844444,55.71683333,293,20.46486
BON,10.71213889,56.53311111,365,24.30312
SYL,8.438916667,55.02091667,769,30.16756029
FIS,11.4516,58.247617,398,25.08986189
Westdiep,,,1336,34.5
