"pars","val","species"
"centre",-793.264,"Corkwing_wrasse"
"w",114.134,"Corkwing_wrasse"
"left",0.015,"Corkwing_wrasse"
"right",0.983,"Corkwing_wrasse"
"sl",0.013,"Corkwing_wrasse"
"sc",0,"Corkwing_wrasse"
"sr",0.031,"Corkwing_wrasse"
"centre",-37.317,"Cod"
"w",13.461,"Cod"
"left",0.144,"Cod"
"right",1,"Cod"
"sl",0.102,"Cod"
"sc",-0.024,"Cod"
"sr",0.001,"Cod"
"centre",-126.434,"Herring"
"w",1109.076,"Herring"
"left",0.004,"Herring"
"right",0.826,"Herring"
"sl",0,"Herring"
"sc",0.106,"Herring"
"sr",0.144,"Herring"
"centre",-21.064,"Turbot"
"w",341.535,"Turbot"
"left",0,"Turbot"
"right",0.998,"Turbot"
"sl",0,"Turbot"
"sc",0.551,"Turbot"
"sr",0,"Turbot"
"centre",313.548,"Flounder"
"w",21.009,"Flounder"
"left",0.156,"Flounder"
"right",0.642,"Flounder"
"sl",0.109,"Flounder"
"sc",0.1,"Flounder"
"sr",0.358,"Flounder"
"centre",-26.243,"Mytilus"
"w",294.62,"Mytilus"
"left",0.043,"Mytilus"
"right",0.961,"Mytilus"
"sl",0.029,"Mytilus"
"sc",0.096,"Mytilus"
"sr",-0.023,"Mytilus"
"centre",225.547,"Macoma"
"w",38.669,"Macoma"
"left",0.291,"Macoma"
"right",0.69,"Macoma"
"sl",0.136,"Macoma"
"sc",0,"Macoma"
"sr",0.171,"Macoma"
"centre",-95.989,"Idotea"
"w",4791.17,"Idotea"
"left",-1.767,"Idotea"
"right",2.324,"Idotea"
"sl",0,"Idotea"
"sc",0,"Idotea"
"sr",0.08,"Idotea"
"centre",-139.949,"Plaice"
"w",373.24,"Plaice"
"left",-0.008,"Plaice"
"right",1.05,"Plaice"
"sl",0,"Plaice"
"sc",0,"Plaice"
"sr",0.053,"Plaice"
"centre",-169.807,"Dab"
"w",336.346,"Dab"
"left",-0.005,"Dab"
"right",0.995,"Dab"
"sl",0,"Dab"
"sc",0.138,"Dab"
"sr",0,"Dab"
"centre",-56.102,"Small_sandeel"
"w",108.211,"Small_sandeel"
"left",0.076,"Small_sandeel"
"right",0.887,"Small_sandeel"
"sl",0.07,"Small_sandeel"
"sc",0,"Small_sandeel"
"sr",0.103,"Small_sandeel"
"centre",-121.389,"Greater_Sandeel"
"w",25.526,"Greater_Sandeel"
"left",0.046,"Greater_Sandeel"
"right",1,"Greater_Sandeel"
"sl",0.046,"Greater_Sandeel"
"sc",-0.043,"Greater_Sandeel"
"sr",0,"Greater_Sandeel"
"centre",27.203,"Skeletonema"
"w",637.345,"Skeletonema"
"left",-0.023,"Skeletonema"
"right",0.763,"Skeletonema"
"sl",0,"Skeletonema"
"sc",0.11,"Skeletonema"
"sr",0.187,"Skeletonema"
